Scan,Element,On Action,DO OFF Command,DO MESSAGE Command,DO WRITE Command,DO INSERT Command,DO CALC Command,DO LOG Command,DO CLEAR Command,DO MESSAGE,I/L Statement,CCS Message
B1_PROT,13,"FIRST TIME, DO NOTHING",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
B1_PROT,14,"FIRST TIME, DO NOTHING",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
B1_PROT,15,"FIRST TIME, DO NOTHING",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
B1_PROT,16,"FIRST TIME, DO NOTHING",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
B1_PROT,17,"FIRST TIME, DO NOTHING",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
B1_PROT,18,"FIRST TIME, DO NOTHING",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
B1_PROT,19,"FIRST TIME, DO NOTHING",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
B1_PROT,20,"FIRST TIME, DO NOTHING",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
B1_PROT,21,ALWAYS,N/A,N/A,DO WRITE TG 33 REG TO TEMP(0),N/A,N/A,N/A,N/A,N/A,N/A,N/A
B1_PROT,22,B1 295 MUX != PREVIOUS,N/A,DO MESSAGE 75836,DO WRITE 0 TO TEMP(0),N/A,N/A,N/A,N/A,DO MESSAGE 75836: TNF Summary Trip Count,N/A,N/A
B1_PROT,23,TG 33 REG != TEMP(0),N/A,DO MESSAGE 12175,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 12175: TNF Protect Mon TNF Summary Last Trip Status,N/A,N/A
B1_PROT,24,ALWAYS,N/A,N/A,DO WRITE TG 34 REG TO TEMP(0),N/A,N/A,N/A,N/A,N/A,N/A,N/A
B1_PROT,25,B1 296 MUX != PREVIOUS,N/A,DO MESSAGE 75840,DO WRITE 0 TO TEMP(0),N/A,N/A,N/A,N/A,DO MESSAGE 75840: TNF Profile HV Enable Trip Count,N/A,N/A
B1_PROT,26,TG 34 REG != TEMP(0),N/A,DO MESSAGE 12200,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 12200: TNF Protect Mon Profile HV Enable Last Trip Status,N/A,N/A
B1_PROT,27,ALWAYS,N/A,N/A,DO WRITE TG 35 REG TO TEMP(0),N/A,N/A,N/A,N/A,N/A,N/A,N/A
B1_PROT,28,B1 297 MUX != PREVIOUS,N/A,DO MESSAGE 76300,DO WRITE 0 TO TEMP(0),N/A,N/A,N/A,N/A,DO MESSAGE 76300: TNF Protect HV Enable Trip Count,N/A,N/A
B1_PROT,29,TG 35 REG != TEMP(0),N/A,DO MESSAGE 12225,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 12225: TNF Protect Mon TNF Protect HV En Last Trip Status,N/A,N/A
B1_PROT,30,ALWAYS,N/A,N/A,DO WRITE TG 36 REG TO TEMP(0),N/A,N/A,N/A,N/A,N/A,N/A,N/A
B1_PROT,31,B1 298 MUX != PREVIOUS,N/A,DO MESSAGE 76376,DO WRITE 0 TO TEMP(0),N/A,N/A,N/A,N/A,DO MESSAGE 76376: TNF |Density-Total| Trip Count,N/A,N/A
B1_PROT,32,TG 36 REG != TEMP(0),N/A,DO MESSAGE 12250,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 12250: TNF Protect Mon |Density-Total| Last Trip Status,N/A,N/A
B1_PROT,33,ALWAYS,N/A,N/A,DO WRITE TG 23 REG TO TEMP(0),N/A,N/A,N/A,N/A,N/A,N/A,N/A
B1_PROT,34,B1 291 MUX != PREVIOUS,N/A,DO MESSAGE 72364,DO WRITE 0 TO TEMP(0),N/A,N/A,N/A,N/A,DO MESSAGE 72364: T2 Summary Trip Count,N/A,N/A
B1_PROT,35,TG 23 REG != TEMP(0),N/A,DO MESSAGE 12775,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 12775: T2 Protect Monitor T2 Summary I/L Last Trip Status,N/A,N/A
B1_PROT,36,ALWAYS,N/A,N/A,DO WRITE TG 24 REG TO TEMP(0),N/A,N/A,N/A,N/A,N/A,N/A,N/A
B1_PROT,37,B1 292 MUX != PREVIOUS,N/A,DO MESSAGE 72368,DO WRITE 0 TO TEMP(0),N/A,N/A,N/A,N/A,DO MESSAGE 72368: T2 Protect HV Enable Trip Count,N/A,N/A
B1_PROT,38,TG 24 REG != TEMP(0),N/A,DO MESSAGE 7950,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 7950: T2 Protect Mon T2 Prot HV En I/L Last Trip Status,N/A,N/A
B1_PROT,39,ALWAYS,N/A,N/A,DO WRITE TG 25 REG TO TEMP(0),N/A,N/A,N/A,N/A,N/A,N/A,N/A
B1_PROT,40,B1 293 MUX != PREVIOUS,N/A,DO MESSAGE 72372,DO WRITE 0 TO TEMP(0),N/A,N/A,N/A,N/A,DO MESSAGE 72372: T2 SEM HV Enable Trip Count,N/A,N/A
B1_PROT,41,TG 25 REG != TEMP(0),N/A,DO MESSAGE 7975,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 7975: T2 Protect Mon SEM HV Enable I/L Last Trip Status,N/A,N/A
B1,1,B1 1 DIGI MASK(hex)=B RAW != PREVIOUS,N/A,DO MESSAGE 15475,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 15475: COMBINATION MAGNET,N/A,N/A
B1,2,B1 2 DIGI MASK(hex)=F RAW != PREVIOUS,N/A,DO MESSAGE 15500,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 15500: 1VB1,N/A,N/A
B1,3,B1 3 DIGI MASK(hex)=F RAW != PREVIOUS,N/A,DO MESSAGE 15725,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 15725: 1BVB2/M13B1(PS# 5),N/A,N/A
B1,4,B1 4 DIGI MASK(hex)=F RAW != PREVIOUS,N/A,DO MESSAGE 15750,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 15750: 1BVB3/M13B2(PS# 6),N/A,N/A
B1,5,B1 11 DIGI MASK(hex)=F RAW != PREVIOUS,N/A,DO MESSAGE 15525,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 15525: 1VQ1,N/A,N/A
B1,6,B1 12 DIGI MASK(hex)=F RAW != PREVIOUS,N/A,DO MESSAGE 15550,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 15550: 1VQ2,N/A,N/A
B1,7,B1 13 DIGI MASK(hex)=F RAW != PREVIOUS,N/A,DO MESSAGE 15575,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 15575: 1VQ3,N/A,N/A
B1,8,B1 14 DIGI MASK(hex)=F RAW != PREVIOUS,N/A,DO MESSAGE 15600,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 15600: 1VQ4,N/A,N/A
B1,9,B1 15 DIGI MASK(hex)=F RAW != PREVIOUS,N/A,DO MESSAGE 15625,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 15625: 1VQ5,N/A,N/A
B1,10,B1 16 DIGI MASK(hex)=F RAW != PREVIOUS,N/A,DO MESSAGE 15650,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 15650: 1VQ6,N/A,N/A
B1,11,B1 21 DIGI MASK(hex)=F RAW != PREVIOUS,N/A,DO MESSAGE 15675,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 15675: 1AQ7,N/A,N/A
B1,12,B1 22 DIGI MASK(hex)=F RAW != PREVIOUS,N/A,DO MESSAGE 15700,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 15700: 1AQ8,N/A,N/A
B1,13,B1 23 DIGI MASK(hex)=F RAW != PREVIOUS,N/A,DO MESSAGE 16000,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 16000: 1AQ9,N/A,N/A
B1,14,B1 24 DIGI MASK(hex)=F RAW != PREVIOUS,N/A,DO MESSAGE 16025,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 16025: 1AQ10,N/A,N/A
B1,15,B1 25 DIGI MASK(hex)=F RAW != PREVIOUS,N/A,DO MESSAGE 15775,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 15775: 1AQ11,N/A,N/A
B1,16,B1 26 DIGI MASK(hex)=F RAW != PREVIOUS,N/A,DO MESSAGE 15800,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 15800: 1AQ12,N/A,N/A
B1,17,B1 27 DIGI MASK(hex)=F RAW != PREVIOUS,N/A,DO MESSAGE 15825,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 15825: 1AQ13,N/A,N/A
B1,18,B1 31 DIGI MASK(hex)=F RAW != PREVIOUS,N/A,DO MESSAGE 15850,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 15850: 1AQ14,N/A,N/A
B1,19,B1 32 DIGI MASK(hex)=F RAW != PREVIOUS,N/A,DO MESSAGE 15875,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 15875: 1AQ15,N/A,N/A
B1,20,B1 33 DIGI MASK(hex)=F RAW != PREVIOUS,N/A,DO MESSAGE 15900,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 15900: 1AQ16,N/A,N/A
B1,21,B1 41 DIGI MASK(hex)=F RAW != PREVIOUS,N/A,DO MESSAGE 15925,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 15925: 1BQ7/M13Q2,N/A,N/A
B1,22,B1 50 DIGI MASK(hex)=F RAW != PREVIOUS,N/A,DO MESSAGE 16050,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 16050: 1VSM0,N/A,N/A
B1,23,B1 51 DIGI MASK(hex)=F RAW != PREVIOUS,N/A,DO MESSAGE 16075,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 16075: 1VSM1,N/A,N/A
B1,24,B1 52 DIGI MASK(hex)=F RAW != PREVIOUS,N/A,DO MESSAGE 13250,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 13250: 1BSM2,N/A,N/A
B1,25,B1 53 DIGI MASK(hex)=F RAW != PREVIOUS,N/A,DO MESSAGE 13275,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 13275: 1BSM3,N/A,N/A
B1,26,"FIRST TIME, DO NOTHING",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
B1,27,B1 60 DIGI MASK(hex)=F RAW != PREVIOUS,N/A,DO MESSAGE 13300,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 13300: 1ASM4,N/A,N/A
B1,28,B1 61 DIGI MASK(hex)=F RAW != PREVIOUS,N/A,DO MESSAGE 13325,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 13325: 1ASM5,N/A,N/A
B1,29,B1 62 DIGI MASK(hex)=F RAW != PREVIOUS,N/A,DO MESSAGE 13350,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 13350: 1ASM6,N/A,N/A
B1,30,B1 63 DIGI MASK(hex)=F RAW != PREVIOUS,N/A,DO MESSAGE 13375,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 13375: 1ASM7,N/A,N/A
B1,31,B1 64 DIGI MASK(hex)=F RAW != PREVIOUS,N/A,DO MESSAGE 13400,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 13400: 1ASM8,N/A,N/A
B1,32,B1 65 DIGI MASK(hex)=F RAW != PREVIOUS,N/A,DO MESSAGE 13425,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 13425: 1ASM9,N/A,N/A
B1,33,B1 66 DIGI MASK(hex)=F RAW != PREVIOUS,N/A,DO MESSAGE 13450,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 13450: 1ASM10,N/A,N/A
B1,34,B1 71 MUX RAW > REFERENCE+100 OR B1 71 MUX RAW < REFERENCE-100,N/A,DO MESSAGE 78052 ,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 78052: 1ASM11A  changed by > 100 (B1 71 MUX),N/A,N/A
B1,35,B1 1 MUX RAW > REFERENCE+100 OR B1 1 MUX RAW < REFERENCE-100,N/A,DO MESSAGE 72552 ,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 72552: 1VCM1  changed by > 100 (B1 1 MUX),N/A,N/A
B1,36,B1 2 MUX RAW > REFERENCE+92 OR B1 2 MUX RAW < REFERENCE-92,N/A,DO MESSAGE 72556 ,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 72556: 1VB1  changed by > 92 (B1 2 MUX),N/A,N/A
B1,37,B1 3 MUX RAW > REFERENCE+92 OR B1 3 MUX RAW < REFERENCE-92,N/A,DO MESSAGE 72560 ,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 72560: 1BVB2/M13B1 (PS #5)  changed by > 92 (B1 3 MUX),N/A,N/A
B1,38,B1 4 MUX RAW > REFERENCE+92 OR B1 4 MUX RAW < REFERENCE-92,N/A,DO MESSAGE 72564 ,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 72564: 1BVB3/M13B2 (PS #6)  changed by > 92 (B1 4 MUX),N/A,N/A
B1,39,B1 11 MUX RAW > REFERENCE+100 OR B1 11 MUX RAW < REFERENCE-100,N/A,DO MESSAGE 72568 ,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 72568: 1VQ1  changed by > 100 (B1 11 MUX),N/A,N/A
B1,40,B1 12 MUX RAW > REFERENCE+100 OR B1 12 MUX RAW < REFERENCE-100,N/A,DO MESSAGE 72572 ,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 72572: 1VQ2  changed by > 100 (B1 12 MUX),N/A,N/A
B1,41,B1 13 MUX RAW > REFERENCE+100 OR B1 13 MUX RAW < REFERENCE-100,N/A,DO MESSAGE 72576 ,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 72576: 1VQ3  changed by > 100 (B1 13 MUX),N/A,N/A
B1,42,B1 14 MUX SCALED > REFERENCE+10.0 OR B1 14 MUX SCALED < REFERENCE-10.0,N/A,DO MESSAGE 72580 ,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 72580: 1VQ4 Current (A)  changed by > 10A (B1 14 MUX) XT=1AQ,N/A,N/A
B1,43,B1 15 MUX SCALED > REFERENCE+10.0 OR B1 15 MUX SCALED < REFERENCE-10.0,N/A,DO MESSAGE 72584 ,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 72584: 1VQ5 Current (A)  changed by > 10A (B1 15 MUX) XT=1AQ,N/A,N/A
B1,44,B1 16 MUX SCALED > REFERENCE+10.0 OR B1 16 MUX SCALED < REFERENCE-10.0,N/A,DO MESSAGE 72588 ,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 72588: 1VQ6 Current (A)  changed by > 10A (B1 16 MUX) XT=1AQ,N/A,N/A
B1,45,B1 21 MUX SCALED > REFERENCE+10.0 OR B1 21 MUX SCALED < REFERENCE-10.0,N/A,DO MESSAGE 72592 ,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 72592: 1AQ7 Current (A)  changed by > 10A (B1 21 MUX) XT=1AQ,N/A,N/A
B1,46,B1 22 MUX SCALED > REFERENCE+10.0 OR B1 22 MUX SCALED < REFERENCE-10.0,N/A,DO MESSAGE 72596 ,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 72596: 1AQ8 Current (A)  changed by > 10A (B1 22 MUX) XT=1AQ,N/A,N/A
B1,47,B1 23 MUX SCALED > REFERENCE+15.0 OR B1 23 MUX SCALED < REFERENCE-15.0,N/A,DO MESSAGE 72600 ,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 72600: 1AQ9 Current (A)  changed by > 15A (B1 23 MUX) XT=1AQ,N/A,N/A
B1,48,B1 24 MUX SCALED > REFERENCE+15.0 OR B1 24 MUX SCALED < REFERENCE-15.0,N/A,DO MESSAGE 72604 ,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 72604: 1AQ10 Current (A)  changed by > 15A (B1 24 MUX) XT=1AQ,N/A,N/A
B1,49,B1 25 MUX SCALED > REFERENCE+10.0 OR B1 25 MUX SCALED < REFERENCE-10.0,N/A,DO MESSAGE 72608 ,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 72608: 1AQ11 Current (A)  changed by > 10A (B1 25 MUX) XT=1AQ,N/A,N/A
B1,50,B1 26 MUX SCALED > REFERENCE+15.0 OR B1 26 MUX SCALED < REFERENCE-15.0,N/A,DO MESSAGE 72612 ,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 72612: 1AQ12 Current (A)  changed by > 15A (B1 26 MUX) XT=1AQ,N/A,N/A
B1,51,B1 27 MUX SCALED > REFERENCE+15.0 OR B1 27 MUX SCALED < REFERENCE-15.0,N/A,DO MESSAGE 72616 ,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 72616: 1AQ13 Current (A)  changed by > 15A (B1 27 MUX) XT=1AQ,N/A,N/A
B1,52,B1 31 MUX SCALED > REFERENCE+15.0 OR B1 31 MUX SCALED < REFERENCE-15.0,N/A,DO MESSAGE 72620 ,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 72620: 1AQ14 Current (A)  changed by > 15A (B1 31 MUX) XT=1AQ,N/A,N/A
B1,53,B1 32 MUXL RAW > REFERENCE+400 OR B1 32 MUXL RAW < REFERENCE-400,N/A,DO MESSAGE 72624 ,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 72624: 1AQ15 Current  changed by > 400 (B1 32 MUXL),N/A,N/A
B1,54,B1 33 MUX SCALED > REFERENCE+15.0 OR B1 33 MUX SCALED < REFERENCE-15.0,N/A,DO MESSAGE 72628 ,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 72628: 1AQ16 Current (A)  changed by > 15A (B1 33 MUX) XT=1AQ,N/A,N/A
B1,55,B1 41 MUX RAW > REFERENCE+100 OR B1 41 MUX RAW < REFERENCE-100,N/A,DO MESSAGE 72632 ,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 72632: 1BQ7/M13Q2  changed by > 100 (B1 41 MUX),N/A,N/A
B1,56,B1 50 MUX RAW > REFERENCE+100 OR B1 50 MUX RAW < REFERENCE-100,N/A,DO MESSAGE 72244 ,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 72244: 1VSM0 (steering quad)  changed by > 100 (B1 50 MUX),N/A,N/A
B1,57,B1 51 MUX SCALED > REFERENCE+0.15 OR B1 51 MUX SCALED < REFERENCE-0.15,N/A,DO MESSAGE 72248 ,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 72248: 1VSM1 Current (A)  changed by > 150mA (B1 51 MUX),N/A,N/A
B1,58,B1 52 MUX SCALED > REFERENCE+0.15 OR B1 52 MUX SCALED < REFERENCE-0.15,N/A,DO MESSAGE 72252 ,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 72252: 1BSM2 Current (A)  changed by > 150mA (B1 52 MUX),N/A,N/A
B1,59,B1 53 MUX SCALED > REFERENCE+0.15 OR B1 53 MUX SCALED < REFERENCE-0.15,N/A,DO MESSAGE 72256 ,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 72256: 1BSM3 Current (A)  changed by > 150mA (B1 53 MUX),N/A,N/A
B1,60,"FIRST TIME, DO NOTHING",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
B1,61,B1 60 MUX SCALED > REFERENCE+0.15 OR B1 60 MUX SCALED < REFERENCE-0.15,N/A,DO MESSAGE 72264 ,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 72264: 1ASM4 Current (A)  changed by > 150mA (B1 60 MUX),N/A,N/A
B1,62,B1 61 MUX SCALED > REFERENCE+0.15 OR B1 61 MUX SCALED < REFERENCE-0.15,N/A,DO MESSAGE 72268 ,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 72268: 1ASM5 Current (A)  changed by > 150mA (B1 61 MUX),N/A,N/A
B1,63,B1 62 MUX SCALED > REFERENCE+0.15 OR B1 62 MUX SCALED < REFERENCE-0.15,N/A,DO MESSAGE 72272 ,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 72272: 1ASM6 Current (A)  changed by > 150mA (B1 62 MUX),N/A,N/A
B1,64,B1 63 MUX SCALED > REFERENCE+0.15 OR B1 63 MUX SCALED < REFERENCE-0.15,N/A,DO MESSAGE 72276 ,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 72276: 1ASM7 Current (A)  changed by > 150mA (B1 63 MUX),N/A,N/A
B1,65,B1 64 MUX SCALED > REFERENCE+0.15 OR B1 64 MUX SCALED < REFERENCE-0.15,N/A,DO MESSAGE 72280 ,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 72280: 1ASM8 Current (A)  changed by > 150mA (B1 64 MUX),N/A,N/A
B1,66,B1 65 MUX SCALED > REFERENCE+0.15 OR B1 65 MUX SCALED < REFERENCE-0.15,N/A,DO MESSAGE 72284 ,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 72284: 1ASM9 Current (A)  changed by > 150mA (B1 65 MUX),N/A,N/A
B1,67,B1 66 MUX RAW > REFERENCE+100 OR B1 66 MUX RAW < REFERENCE-100,N/A,DO MESSAGE 72288 ,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 72288: 1ASM10 (steering quad)  changed by > 100 (B1 66 MUX),N/A,N/A
B1,68,B1 72 MUX RAW > REFERENCE+100 OR B1 72 MUX RAW < REFERENCE-100,N/A,DO MESSAGE 78056 ,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 78056: 1ASM11B  changed by > 100 (B1 72 MUX),N/A,N/A
B1,69,B1 230 MUX RAW = PREVIOUS,N/A,DO MESSAGE 72512,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 72512: 1AM11 TRIMAC watchdog,N/A,N/A
B1,70,B1 340 MUX SCALED <= 15.0,N/A,DO MESSAGE 73084,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 73084: TC3 UTRA #0 ambient ref temp box,N/A,N/A
B1,71,B1 300 MUX RAW = PREVIOUS,N/A,DO MESSAGE 73032,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 73032: Secondary Channel Rates TRIMAC,N/A,N/A
B1,72,B1 340 MUX SCALED >= 35.0,N/A,DO MESSAGE 73084,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 73084: TC3 UTRA #0 ambient ref temp box,N/A,N/A
B1,73,"FIRST TIME, DO NOTHING",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
B1,74,B1 0 REG MASK(hex)=FF RAW != PREVIOUS,N/A,DO MESSAGE 28450,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 28450: 1AM11 STATUS BYTE,N/A,N/A
B1,75,B1 1 REG MASK(hex)=FF RAW != PREVIOUS,N/A,DO MESSAGE 28475,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 28475: 11AM11 CONTROL LOC,N/A,N/A
B1,76,B1 2 REG MASK(hex)=FF RAW != PREVIOUS,N/A,DO MESSAGE 28500,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 28500: 1AM11 REMCON STATUS BYTE,N/A,N/A
B1,77,B1 375 MUX SCALED > 60.0,N/A,DO MESSAGE 73140 ,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 73140: 1AQ15 cct 5 coil temperature  HIGH warning,N/A,N/A
B1,78,B1 376 MUX SCALED > 55.0,N/A,DO MESSAGE 78292 ,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 78292: 1AQ15 cct 9 coil temperature  HIGH warning,N/A,N/A
B1,79,B1 377 MUX SCALED > 71.0,N/A,DO MESSAGE 78296 ,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 78296: 1AQ15 cct 11 coil temperature  HIGH warning,N/A,N/A
B1,80,FIRST TIME,N/A,N/A,"DO WRITE 1 TO TEMP(2), DO WRITE 1 TO TEMP(4), DO WRITE 1 TO TEMP(6), DO WRITE 1 TO TEMP(7), DO WRITE 1 TO TEMP(8), DO WRITE SFBIT(I0303) TO TEMP(11), DO WRITE SFBIT(I0304) TO TEMP(12), DO WRITE SFBIT(I0305) TO TEMP(13), DO WRITE SFBIT(N0209) TO TEMP(14), DO WRITE SFBIT(N0210) TO TEMP(15)",N/A,N/A,N/A,N/A,N/A,N/A,N/A
B1,81,ALWAYS,N/A,N/A,N/A,N/A,"DO CALC TEMP(3) = B1 375 MUX SCALED - B1 376 MUX SCALED * ABS, DO CALC TEMP(5) = B1 377 MUX SCALED - B1 376 MUX SCALED * ABS",N/A,N/A,N/A,N/A,N/A
B1,82,TEMP(2) = 0,N/A,N/A,DO WRITE 1 TO TEMP(2),N/A,N/A,N/A,N/A,N/A,N/A,N/A
B1,83,TEMP(3) > 10.0 AND TEMP(2) = 1,N/A,DO MESSAGE 103350,DO WRITE 0 TO TEMP(2),N/A,N/A,N/A,N/A,"DO MESSAGE 103350: B1_SCAN                        1AQ15 c5 (B1,375)",N/A,N/A
B1,84,TEMP(4) = 0,N/A,N/A,DO WRITE 1 TO TEMP(4),N/A,N/A,N/A,N/A,N/A,N/A,N/A
B1,85,TEMP(5) > 10.0 AND TEMP(4) = 1,N/A,DO MESSAGE 103351,DO WRITE 0 TO TEMP(4),N/A,N/A,N/A,N/A,"DO MESSAGE 103351: B1_SCAN                        1AQ15 c11 (B1,377)",N/A,N/A
B1,86,B1 379 MUX SCALED > 70.0,N/A,DO MESSAGE 66504 ,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 66504: 1AQ14 cct 1 coil temperature  HIGH warning,N/A,N/A
