,Text,Thumbwheel,XT Page,Keyword
13,"NBIF RATIO, RATIO (UP+DOWN)/(1A CURR + 2A CURR)",B1 183 MUX,"02, NBIF",Beamline 1
14,"DUTY FACTOR, I1 PULSER DUTY CYCLE (%), I1 PULSER MUX, PULSER DUTY CYCLE, PULSER DUTY FACTOR, TW# 55 MUXL",I1 55 MUX,"02, 04, 05, 51, 51A, 51PS, 5L",Ion Source 1
15,"DEFLECTOR +VE VOLTAGE, POSITIVE DEFLECTOR RAW MUX",TK 3 MUX,"02, 7M",Tank
16,"DEFLECTOR -VE VOLTAGE, NEGATIVE DEFLECTOR RAW MUX",TK 4 MUX,"02, 7M",Tank
17,"RF DRIVEN STATE, RF MODE, RF ON/OFF STATE, RF STATUS, RF SYNTHESIZER",RF 77 DIGI,"02, 04, 29B20, 2DV, 2DV1, TV1, TV2, TV3",Radio Frequency
18,"NIM 030, TNIM030 CURRENT, TNIM030 RAW MUX",IB 440 MUX,"02, 5L, 7H",ISIS Beamline
19,"VIB-NIM 23, VIB-NIM 23 CURRENT, VIB-TNIM023, VIB-TNIM023 CURRENT, VIB-TNIM023 RAW MUX",IB 458 MUX,"02, 2V, 2Z, 5L, 7H",ISIS Beamline
20,"SOUTH SIDE ION GAUGE, TANK PRESSURE, TANK VACUUM, TANK VACUUM (SOUTH) PRESSURE",TV 56 MUX,"02, 04, 26, 29B20, 2B, 2U, 2V, 2W, 2X, 2Z, NBIF, TV1, TV2, TV3, TVC",Tank Vacuum
21,RF FREQUENCY,RF 160 MUX,"02, 04, 2B, 2U, 2V, 2W, 2X, 2Z, 5R",Radio Frequency
22,"DEE VOLTAGE, RF DEE VOLTAGE, RF VOLTAGE",RF 161 MUX,"02, 04, 2B, 2U, 2V, 2W, 2X, 2Z",Radio Frequency
23,"ON-LINE PULSER MUX VALUE, ON-LINE PULSER VALUE, PRESENT PULSER % VALUE, PULSER % VALUE, PULSER MUX VALUE",IB 55 MUX,"02, 1ABPM, 2ABPM, 2APB, 2AS, 2ATS, 5P, 7H",ISIS Beamline
24,"ON-LINE PULSER DAC VALUE, PRESENT PULSER DAC VALUE, PULSER DAC VALUE",IB 55 DAC,"02, 2APB, 2AS, 5P, 7H",ISIS Beamline
25,"NORTH SIDE ION GAUGE, TANK VACUUM (NORTH) PRESSURE",TV 55 MUX,"02, 26, TV2, TV3, TVC",Tank Vacuum
26,"AMP DRIVE, RF AMP DRIVE",ET 34 MUX,"02, 26",Extra Thumbwheels
27,"2A CURRENT STABILITY PROGRAM ENABLED/DISABLED, BL2A CURRENT STABILITY PROGRAM (PAGE 2AS) STATE, CURRENT STABILITY PROGRAM (PAGE 2AS) STATE, CURRENT STABILITY PROGRAM STATE",2A 3 REG,"02, 2ABPM, 2AP, 2AS, 3HS",Beamline 2A
28,"INFLECTOR BOX ION GAUGE, INFLECTOR BOX VACUUM, INFLECTOR ION GAUGE",TV 57 MUX,"02, 29B20, TV1, TV2, TV3, TVC",Tank Vacuum
29,"RF TUNER DRIVE, TUNER DRIVE",ET 47 MUX,"02, 26, RFPCV",Extra Thumbwheels
30,"SLIT 125-T/B MOTOR POSITION, SLITS 125 POSITION",IB 471 MUXT,"02, 5SL",ISIS Beamline
31,SLITS 126 POSITION,IB 473 MUX,02,ISIS Beamline
32,SLITS 166 POSITION,IB 477 MUX,02,ISIS Beamline
33,NORTHWEST SIDE ION GAUGE,TV 23 MUX,"02, TV2, TV3, TVC",Tank Vacuum
34,"RF THREE WAY VALVE POSITION (% OPEN), THREE WAY VALVE POSITION (% OPEN)",RF 165 MUXT,"02, RFTWV",Radio Frequency
35,MAIN PHASE SETPOINT READBACK (IN DEGREES),IB 201 DAC   114,02,ISIS Beamline
36,"RF MAIN COUPLER ION PUMP VACUUM, RF MAIN COUPLER ION PUMP VACUUM READBACK, RF MAIN COUPLER VACUUM",RF 89 MUX,"02, 26, 2PA, RFMCL, TV1, TV2, TV3, TVC",Radio Frequency
37,RF BOOSTER POWER,TK 370 DIGI,"02, NBIF, RFB",Tank
38,"RF BOOSTER AMPLITUDE READBACK, RFB VOLTAGE",TK 364 MUX,"02, 2B, 2V, 2Z, NBIF, RFB",Tank
39,1ST BUNCHER PHASE,IB 203 MUX,02,ISIS Beamline
40,1ST BUNCHER VOLTAGE,IB 202 MUX,02,ISIS Beamline
41,"LINDE 1630 FREQUENCY, LINDE MOTOR DRIVE FREQUENCY",TV 134 MUX,"02, TV1, TV2, TVC",Tank Vacuum
42,RF BOOSTER PHASE READBACK,TK 366 MUX,"02, RFB",Tank
43,2ND BUNCHER PHASE,IB 205 MUX,02,ISIS Beamline
44,2ND BUNCHER VOLTAGE,IB 204 MUX,02,ISIS Beamline
45,"4K CRYOPANELS RETURN TEMPERATURE, 4K RETURN, 4K TRANSFER LINE RETURN TEMPERATURE, TRANSFER LINE 20 DEG RETURN TEMPERATURE, TRANSFER LINE 4K RETURN TEMPERATURE",TV 92 MUX,"02, TV1, TV2, TV3, TVC",Tank Vacuum
46,RF BOOSTER AMPLITUDE REGULATION,TK 61 REG,"02, RFB",Tank
47,RF BOOSTER PHASE REGULATION,TK 62 REG,"02, RFB",Tank
48,RF BOOSTER FREQUENCY LOCK,TK 63 REG,"02, RFB",Tank
49,"BS 128, BS 128 STATUS, PEPPER POT OUT/IN, TOGGLE PEPPER POT STATUS",IB 432 DIGI,"02, 56, 56B",ISIS Beamline
50,"80K LN2 SUPPLY TEMPERATURE, 80K TRANSFER LINE SUPPLY TEMPERATURE, LN2 TRANSFER LINE 80K SUPPLY TEMPERATURE, TRANSFER LINE 80 DEG SUPPLY TEMPERATURE, TRANSFER LINE 80K SUPPLY TEMPERATURE",TV 93 MUX,"02, TV2, TV3, TVC, TVLN2",Tank Vacuum
51,"BEAMLINE 1 ENERGY, BL 1 ENERGY, BL1 ENERGY, BL1 EXTRACTION ENERGY, EXTRACTOR 1 ENERGY, PROTON ENERGY",B1 750 MUX,"02, 04, 12, 12A, 12B, 1AT, 1R, 1X, NBIF, PIF",Beamline 1
52,"2A ENERGY, BEAMLINE 2A ENERGY, BL 2A ENERGY",2A 723 MUX,"02, 04, 12, 12A, 12B, 1R, 2A2D, 2A2P, 2A3D, 2A3P, 2AED, 2AN, 2ARM, 2AX1, 2AX2, NBIF",Beamline 2A
53,"2C BEAM ENERGY, 2C ENERGY, BEAMLINE 2C ENERGY, BL 2C ENERGY, CALC ENERGY",B2 75 MUX,"02, 04, 2C4, 2CQ, 2CV, 2CX, MN2CX, NBIF",Beamline 2C
54,"BEAMLINE 4 ENERGY, BL 4 ENERGY, EXTRACTOR 4 ENERGY",B4 760 MUX,"02, 04, 12, 12A, 12B",Beamline 4
55,"BEAMLINE 1 CURRENT, BL 1 ADJUSTED CURRENT, BL 1 CURRENT, BL 1 EXTRACTEDCURRENT, BL 1 FOIL CURRENT, BL 1 STRIPPER CURRENT, BL1 ADJUSTED CURRENT, BL1 CURRENT, BL1 EXTRACTION PROBE CURRENT, BL1A ADJUSTED FOIL CU""RRENT"", EXTR 1 FOIL CURRENT, EXTRACTION 1 ADJUSTED CURRENT, EXTRACTION 1 CURRENT, EXTRACTOR 1 CURRENT, EXTRACTOR 1 GAIN ERROR, EXTRACTOR CURRENT, X1 ADJUSTED CURRENT",B1 751 MUX,"02, 04, 05, 07, 12, 12A, 12B, 17, 1ABPM, 1AP, 1AT, 1ATS, 1R, 1T, 1U, 1X, 2V, 2Z, 3HS, 63, 7H, 7K, 7L, DTT, NBIF, PIF",Beamline 1
56,"2A ADJ. CURRENT, 2AX ADJUSTED CURRENT, BEAMLINE 2A CURRENT, BL 2A ADJUSTED CURRENT, BL 2A CURRENT, BL 2A EXTRACTED CURRENT, BL2A ADJUSTED FOIL CURRENT, EXTRACTION 2A ADJUSTED CURRENT, EXTRACTOR 2A CURRENT, EXTRACTOR 2A GAIN ERROR",2A 724 MUX,"02, 04, 05, 09, 12, 12A, 12B, 1R, 2A2D, 2A2P, 2A3D, 2A3P, 2AED, 2AN, 2AP, 2APB, 2ARM, 2AS, 2ATE, 2ATS, 2ATW, 2AX1, 2AX2, 3HS, 7H, 7K, NBIF",Beamline 2A
57,"2C BEAM CURRENT, 2C CURRENT, 2C TOROID CURRENT, 2C TOROID GAIN ERROR, BEAMLINE 2C CURRENT, BL 2C CURRENT, BL 2C EXTRACTEDCURRENT, EXTRACTION 2C ADJUSTED CURRENT, EXTRACTOR 2 CURRENT",B2 721 MUX,"02, 04, 08, 12, 12A, 12B, 1R, 2C4, 2CQ, 2CV, 2V, 2Z, 7H, 7K, NBIF",Beamline 2C
58,"BL 4 ADJUSTED CURRENT, BL 4 CURRENT, BL 4 EXTRACTEDCURRENT, BL 4 STRIPPER CURRENT, EXTRACTION 4 ADJUSTED CURRENT, EXTRACTOR 4 CURRENT, EXTRACTOR 4 GAIN ERROR",B4 761 MUX,"02, 04, 05, 07, 12, 12A, 12B, 2Z, 7H, 7K",Beamline 4
59,"BL 1 TOROID CURRENT, BL1 TOROID CURRENT, TOROID 1 CURRENT",B1 113 MUX,"02, 05, 1ABPM, 1AP, 1U, 1X",Beamline 1
60,"2A TOROID, 2AM12 - TOROID, 2AM12 TOROID CURRENT, 2AM12 TOROID CURRENT - FIXED GAIN, 2AM12 TORROID CURRENT, BL 2A TOROID CURRENT, BL2A TOROID CURRENT",2A 114 MUX,"02, 05, 2ABPM, 2AED, 2ATE, 2ATW, 2AX1, 2AX2, 7K",Beamline 2A
61,"2CN INTEGRATED TIMER, BL 2C INTEGRATED TIMER, BL 2C1 CHARGE (INTEGRATED TIMER)",MS 521 MUX,"02, 04, 08",Miscellanious
62,"EXT. PROBE 1 R DESTINATION, EXT. PROBE 1 R POSITION, EXTR 1 R POSITION, STRIPPER 1 R, X1 R MOTOR POSITION",TK 236 DAC,"02, 03, 1X, 83",Tank
63,"FOIL R, FOIL R POSITION, X2A FOIL R POSITION",TK 568 MUX,"02, 03, 2AED, 2AX1, 2AX2",Tank
64,"BL2C EXT PROBE R POSITION VALUE, R MOTOR POSITION, X2C R MOTOR POSITION",TK 322 MUX,"02, 03, 2C12, 2CX, MN2CX",Tank
65,"EXT. PROBE 1 L DESTINATION, EXT. PROBE 1 L POSITION, EXTR 1 L POSITION, STRIPPER 1 L, X1 L MOTOR POSITION",TK 235 DAC,"02, 03, 1X, 83",Tank
66,"L MOTOR POSITION, X2A L MOTOR POSITION",TK 570 MUX,"02, 03, 2AED, 2AX1, 2AX2",Tank
67,"BL2C EXT PROBE L POSITION VALUE, L MOTOR POSITION, X2C L MOTOR POSITION",TK 321 MUX,"02, 03, 2C12, 2CX, MN2CX",Tank
68,"EXT. PROBE 1 Z DESTINATION, EXT. PROBE 1 Z POSITION, EXTR 1 Z POSITION, STRIPPER 1 Z, X1 Z MOTOR POSITION",TK 234 DAC,"02, 03, 1X, 83",Tank
69,"X2A Z MOTOR POSITION, Z MOTOR POSITION",TK 572 MUX,"02, 03, 2AED, 2AX1, 2AX2",Tank
70,"BL2C EXT PROBE Z POSITION VALUE, X2C Z MOTOR POSITION, Z MOTOR POSITION",TK 320 MUX,"02, 03, 2C12, 2CX, MN2CX",Tank
71,"FOIL #1, FOIL NUMBER IN USE, X2A FOIL #",TK 567 MUX,"02, 2AX1, 2AX2",Tank
72,"BL2C EXT FOIL NUMBER, FOIL # IN USE, FOIL IN USE, X2C FOIL #",TK 323 MUX,"02, 2C12, 2CX, MN2CX",Tank
73,"BEAMLINE 2C STF RESISTIVITY (TARGET COOLING RETURN), STF (TARGET COOLING RETURN) RESISTIVITY, TARGET COOLING RETURN H2O RESISTIVITY READBACK, TARGET COOLING RETURN WATER RESISTIVITY",B2 225 MUX,"02, 2C4, 2C43, 2CX",Beamline 2C
74,"1AT1, T1 OR T2 TARGET POSITION, T1 POSITION, T1 POSITION 0 SELECT, T1 POSITION 1 SELECT, T1 POSITION 2 SELECT, T1 POSITION 3 SELECT, T1 POSITION 4 SELECT, T1 POSITION 5 SELECT, T1 POSITION RAW DATA, T1 TARGET POSITION, TARGET POSITION",TG 227 MUX,"02, 04, 1ATS, 1T, 1U, 61, 7L, DTT",Targets
75,"1AT2, T2 POSITION, T2 POSITION 0 SELECT, T2 POSITION 1 SELECT, T2 POSITION 2 SELECT, T2 POSITION 3 SELECT, T2 POSITION 4 SELECT, T2 POSITION 5 SELECT, T2 POSITION RAW DATA, T2 TARGET POSITION, TARGET POSITION",TG 267 MUX,"02, 04, 1T, 1U, 62, 7L, DTT",Targets
76,"2C4 COLL LEFT TEMPERATURE, 2C4 COLLIMATOR TC (LEFT) READBACK, 2C4 COLLIMATOR TEMPERATURE (LEFT)",B2 210 MUXL,"02, 2C4, 2C41",Beamline 2C
77,"2C4 COLL RIGHT TEMPERATURE, 2C4 COLLIMATOR TC (RIGHT) READBACK, 2C4 COLLIMATOR TEMPERATURE (RIGHT)",B2 210 MUXR,"02, 2C4, 2C41",Beamline 2C
78,BL1 BEAM OFF COUNT,MS 701 MUX,"02, 06",Miscellanious
79,BL2A BEAM OFF COUNT,MS 702 MUX,"02, 06",Miscellanious
80,BL2C BEAM OFF COUNT,MS 703 MUX,"02, 06",Miscellanious
81,BL4 BEAM OFF COUNT,MS 704 MUX,"02, 06",Miscellanious
82,"ACCEL. BLDG. ROOF TEMPERATURE, WEATHER STATIONTEMPERATURE",MS 81 MUX,"02, 0W",Miscellanious
83,"RAW WATER SUPPLY TEMPERATURE, RAW WATER TEMPERATURE, RAW WATER TEMPERATURE READBACK, TEMPERATURE READBACK",MS 10 MUX,"02, 1AT, 2DRV, 2FAN, 2P",Miscellanious
84,"CONTROLLER OUTPUT POWER, COOLING TOWER DRIVE OUTPUT POWER, COOLING TOWER FANS OUTPUT POWER, OUTPUT POWER",MS 171 MUX,"02, 1AT, 2DRV, 2FAN, 2P, RFTWV",Miscellanious
85,"WEATHER STATIONWINDSPEED, WIND SPEED",MS 85 MUX,"02, 0W",Miscellanious
86,"WEATHER STATIONWINDDIRECTION, WIND DIRECTION",MS 86 MUX,"02, 0W",Miscellanious
87,"VERTICAL FLAG, VERTICAL FLAG DESTINATION, VERTICAL FLAG POSITION",TK 213 DAC,"03, 81, 8F",Tank
88,"LE 1, LE 1 POSITION",TK 210 DAC,"03, 81",Tank
89,"LE 2, LE 2 POSITION",TK 214 DAC,"03, 81",Tank
90,"HE 1 (ABSOLUTE ENCODER), HE1 ABSOLUTE ENCODER POSITION",TK 182 MUX,"03, 8H",Tank
91,"HE 2 (ABSOLUTE ENCODER), HE2 ABSOLUTE ENCODER POSITION",TK 187 MUX,"03, 8H",Tank
92,"HE 3, HE 3 (OUT) STATUS, HE 3 IN, HE 3 OUT, LE 2 < N, LE 2 EXCH (OUT), LE 2 IN, LE 2 OUT (CAL), LE 2 SAFETY ENABLED, LE 2 STEP ENABLED, LE 2 SYNCH BOTH DOWN, LE 2 SYNCH ENABLED",TK 1 REG,"03, 81, 82",Tank
93,"Q2 RADIAL FLAG, RAD. FLAG Q2 DESTINATION, RAD. FLAG Q2 POSITION, RADIAL FLAG Q2 POSITION",TK 237 DAC,"03, 81, 8F",Tank
94,"Q4 RADIAL FLAG, RAD. FLAG Q4 DESTINATION, RAD. FLAG Q4 POSITION, RADIAL FLAG Q4 POSITION",TK 217 DAC,"03, 81, 8F",Tank
95,"Q2 VERTICAL FLAG, Q2 VERTICAL FLAG DESTINATION, Q2 VERTICAL FLAG POSITION",TK 246 DAC,"03, 81, 8F",Tank
96,MAX TEMP. OF RF (GROUP 1) T/C,RF 175 MUX,04,Radio Frequency
97,"MAIN MAGNET POWER STATUS, MAIN MAGNET STATUS",MG 170 DIGI,"04, 31, TV2, TV3",Magnets
98,ADJUSTED ISIS TRANSMISSION,IB 460 MUX,"04, 5L, 7H, DTW",ISIS Beamline
99,"BUNCHER STATUS, MAIN BUNCHER FREQUENCY LOCKED STATE, MAIN BUNCHER INTERLOCKS STATE, MAIN BUNCHER ON/OFF, MAIN BUNCHER POWER ON STATE, MAIN BUNCHER READY STATUS",IB 202 DIGI,"04, 5R, SL5",ISIS Beamline
100,"2ND BUNCHER ON/OFF, 2ND BUNCHER STATUS, 2ND HARMONIC BUNCHER FREQUENCY LOCKED STATE, 2ND HARMONIC BUNCHER INTERLOCKS STATE, 2ND HARMONIC BUNCHER POWER ON STATE, 2ND HARMONIC BUNCHER READY STATUS",IB 204 DIGI,"04, 5R, SL5",ISIS Beamline
101,BL 1 CONVERSION FACTOR,B1 757 MUX,05,Beamline 1
102,BL 2A CONVERSION FACTOR,2A 726 MUX,05,Beamline 2A
103,BL 4 CONVERSION FACTOR,B4 767 MUX,05,Beamline 4
104,"BL 1 FOIL CURRENT, BL1 FOIL CURRENT, EXTRACTION 1 GAIN, EXTRACTION PROBE 1 - GAIN, EXTRACTOR 1 RAW MUX, X1 FOIL CURRENT",TK 166 MUX,"05, 1ABPM, 1X, 7C, 7H, 7K",Tank
105,"BL 1 FOIL DARK CURRENT, EXTRACTOR 1 DARK CURRENT",B1 765 MUX,"05, 7H",Beamline 1
106,"2A FOIL CURRENT, 2AX FOIL CURRENT, BL 2A FOIL CURRENT, BL2A FOIL CURRENT, EXTRACTION 2A GAIN, EXTRACTION PROBE 2A - GAIN, EXTRACTOR 2A FOIL RAW MUX",TK 162 MUX,"05, 2ABPM, 2AED, 2ATE, 2ATW, 2AX1, 2AX2, 7C, 7H, 7K",Tank
107,"BL 2A FOIL DARK CURRENT, EXTRACTOR 2A FOIL DARK CURRENT",2A 725 MUX,"05, 7H",Beamline 2A
108,"2AX HEAT SHIELD CURRENT, BL 2A HEAT SHIELD CURRENT, EXTRACTOR 2A HEAT SHIELD RAW MUX",TK 163 MUX,"05, 2AX2, 7H",Tank
109,"BL 2A HEAT SHIELD DARK CURRENT, EXTRACTOR 2A HEAT SHIELD DARK CURRENT",2A 727 MUX,"05, 7H",Beamline 2A
110,CONTROLS SIMPLETIMER,MS 400 MUX,06,Miscellanious
111,RF DRIVEN SIMPLETIMER,MS 401 MUX,06,Miscellanious
112,LE SW SPILL INTEGRATED TIMER,MS 560 MUX,06,Miscellanious
113,VACUUM SIMPLE TIMER,MS 402 MUX,06,Miscellanious
114,HE SW SPILL INTEGRATED TIMER,MS 561 MUX,06,Miscellanious
115,MAGNET ON SIMPLETIMER,MS 403 MUX,06,Miscellanious
116,LE NE SPILL INTEGRATED TIMER,MS 562 MUX,06,Miscellanious
117,INF/DEF ON SIMPLE TIMER,MS 404 MUX,06,Miscellanious
118,HE NE SPILL INTEGRATED TIMER,MS 563 MUX,06,Miscellanious
119,PLATES ON SIMPLETIMER,MS 405 MUX,06,Miscellanious
120,TOTAL TANK SPILLINTEGRATED TIMER,MS 564 MUX,06,Miscellanious
121,I1 INJECTED SIMPLE TIMER,MS 410 MUX,06,Miscellanious
122,B1 EXTRACTED SIMPLE TIMER,MS 415 MUX,06,Miscellanious
123,I2 INJECTED SIMPLE TIMER,MS 411 MUX,06,Miscellanious
124,"BL 2A WEEKLY SIMPLE TIMER, BL2A EXTRACTED SIMPLE TIMER (WEEKLY)",MS 606 MUX,"06, 09",Miscellanious
125,"2C1 IRRADIATIONTIMER ACTIVE, BL 2A TIMER ACTIVE, BL 2A2 TIMER ACTIVE, BL 2A3 TIMER ACTIVE, BL2A EXTRACTED TIMER ACTIVE, FOIL 1 TIMER ACTIVE, FOIL 11 TIMER ACTIVE, FOIL 2 TIMER ACTIVE, FOIL 3 TIMER ACTIVE, FOIL 4 TIMER ACTIVE, FOIL 5 TIMER ACTIVE, FOIL 6 TIMER ACTIVE, FOIL 7 TIMER ACTIVE, FOIL 8 TIMER ACTIVE, FOIL 9 TIMER ACTIVE, I1 FILAMENT TIMER ACTIVE, I2 FILAMENT TIMER ACTIVE, T2 POS 5 TIMERACTIVE",MS 22 REG,"06, 07, 08, 09",Miscellanious
126,I3 INJECTED SIMPLE TIMER,MS 412 MUX,06,Miscellanious
127,"BL 2C WEEKLY SIMPLE TIMER, BL2C EXTRACTED SIMPLE TIMER (WEEKLY)",MS 640 MUX,"06, 08",Miscellanious
128,I4 INJECTED SIMPLE TIMER,MS 413 MUX,06,Miscellanious
129,B4 EXTRACTED SIMPLE TIMER,MS 416 MUX,06,Miscellanious
130,BEAM INJECTED SIMPLE TIMER,MS 414 MUX,06,Miscellanious
131,I1 FILAMENT SIMPLE TIMER,MS 406 MUX,06,Miscellanious
132,BEAM INJECTED (VIB TNIM-023) INTEGRATED TIMER,MS 559 MUX,06,Miscellanious
133,I2 FILAMENT SIMPLE TIMER,MS 407 MUX,06,Miscellanious
134,BL 1A I1 SIMPLE TIMER,MS 420 MUX,07,Miscellanious
135,BL 1A I1 CHARGE (INTEGRATED TIMER),MS 500 MUX,07,Miscellanious
136,BL 1A I2 SIMPLE TIMER,MS 421 MUX,07,Miscellanious
137,BL 1A I2 CHARGE (INTEGRATED TIMER),MS 501 MUX,07,Miscellanious
138,BL 1A I3 SIMPLE TIMER,MS 422 MUX,07,Miscellanious
139,BL 1A I3 CHARGE (INTEGRATED TIMER),MS 502 MUX,07,Miscellanious
140,BL 1A I4 SIMPLE TIMER,MS 423 MUX,07,Miscellanious
141,BL 1A I4 CHARGE (INTEGRATED TIMER),MS 503 MUX,07,Miscellanious
142,BL 1B I1 SIMPLE TIMER,MS 424 MUX,07,Miscellanious
143,BL 1B I1 CHARGE (INTEGRATED TIMER),MS 504 MUX,07,Miscellanious
144,BL 1B I2 SIMPLE TIMER,MS 425 MUX,07,Miscellanious
145,BL 1B I2 CHARGE (INTEGRATED TIMER),MS 505 MUX,07,Miscellanious
146,BL 1B I3 SIMPLE TIMER,MS 426 MUX,07,Miscellanious
147,BL 1B I3 CHARGE (INTEGRATED TIMER),MS 506 MUX,07,Miscellanious
148,BL 1B I4 SIMPLE TIMER,MS 427 MUX,07,Miscellanious
149,BL 1B I4 CHARGE (INTEGRATED TIMER),MS 507 MUX,07,Miscellanious
150,T1 SIMPLE TIMER,MS 460 MUX,07,Miscellanious
151,"BL 2C1 TIMER ACTIVE, BL 2C4 TIMER ACTIVE, FOIL 13 TIMER ACTIVE, T1 POS 0 TIMERACTIVE, T1 POS 1 TIMERACTIVE, T1 POS 2 TIMERACTIVE, T1 POS 3 TIMERACTIVE, T1 POS 4 TIMERACTIVE, T1 POS 5 TIMERACTIVE, T1 TIMER ACTIVE, T2 POS 0 TIMERACTIVE, T2 POS 1 TIMERACTIVE, T2 POS 2 TIMERACTIVE, T2 POS 3 TIMERACTIVE, T2 POS 4 TIMERACTIVE, T2 TIMER ACTIVE",MS 21 REG,"07, 08",Miscellanious
152,T1 CHARGE (INTEGRATED TIMER),MS 540 MUX,07,Miscellanious
153,T2 SIMPLE TIMER,MS 470 MUX,07,Miscellanious
154,T2 CHARGE (INTEGRATED TIMER),MS 550 MUX,07,Miscellanious
155,T1 POS 0 SIMPLE TIMER,MS 461 MUX,07,Miscellanious
156,T1 POS 0 CHARGE (INTEGRATED TIMER),MS 541 MUX,07,Miscellanious
157,T2 POS 0 SIMPLE TIMER,MS 471 MUX,07,Miscellanious
158,T2 POS 0 CHARGE (INTEGRATED TIMER),MS 551 MUX,07,Miscellanious
159,T1 POS 1 SIMPLE TIMER,MS 462 MUX,07,Miscellanious
160,T1 POS 1 CHARGE (INTEGRATED TIMER),MS 542 MUX,07,Miscellanious
161,T2 POS 1 SIMPLE TIMER,MS 472 MUX,07,Miscellanious
162,T2 POS 1 CHARGE (INTEGRATED TIMER),MS 552 MUX,07,Miscellanious
163,T1 POS 2 SIMPLE TIMER,MS 463 MUX,07,Miscellanious
164,T1 POS 2 CHARGE (INTEGRATED TIMER),MS 543 MUX,07,Miscellanious
165,T2 POS 2 SIMPLE TIMER,MS 473 MUX,07,Miscellanious
166,T2 POS 2 CHARGE (INTEGRATED TIMER),MS 553 MUX,07,Miscellanious
167,T1 POS 3 SIMPLE TIMER,MS 464 MUX,07,Miscellanious
168,T1 POS 3 CHARGE (INTEGRATED TIMER),MS 544 MUX,07,Miscellanious
169,T2 POS 3 SIMPLE TIMER,MS 474 MUX,07,Miscellanious
170,T2 POS 3 CHARGE (INTEGRATED TIMER),MS 554 MUX,07,Miscellanious
171,T1 POS 4 SIMPLE TIMER,MS 465 MUX,07,Miscellanious
172,T1 POS 4 CHARGE (INTEGRATED TIMER),MS 545 MUX,07,Miscellanious
173,T2 POS 4 SIMPLE TIMER,MS 475 MUX,07,Miscellanious
174,T2 POS 4 CHARGE (INTEGRATED TIMER),MS 555 MUX,07,Miscellanious
175,T1 POS 5 SIMPLE TIMER,MS 466 MUX,07,Miscellanious
176,T1 POS 5 CHARGE (INTEGRATED TIMER),MS 546 MUX,07,Miscellanious
177,T2 POS 5 SIMPLE TIMER,MS 476 MUX,07,Miscellanious
178,T2 POS 5 CHARGE (INTEGRATED TIMER),MS 556 MUX,07,Miscellanious
179,X1 FOIL SIMPLETIMER,MS 459 MUX,07,Miscellanious
180,"X1 FOIL (INTEGRATED TIMER), X1 FOIL CHARGE",MS 539 MUX,"07, 1X",Miscellanious
181,500 MEV SIMPLETIMER,MS 458 MUX,07,Miscellanious
182,500 MEV CHARGE(INTEGRATED TIMER),MS 538 MUX,07,Miscellanious
183,BL 2C SIMPLE TIMER,MS 417 MUX,08,Miscellanious
